date,ticker,close,mom_7d,vov_60d,dd_dur_60d,autocorr_30d,fgi_vol_30d
2021-04-23,BNB,0.596207302069764,0.5703161671305842,1.0,0.011818181818181818,0.4715513061325538,0.2774535259446731
2021-04-24,BNB,0.5427558257345491,0.5004510834832773,0.9589862915510422,0.011818181818181818,0.4973893622655638,0.37322154878356817
2021-04-25,BNB,0.5572441742654508,0.5832498948653448,0.9166026144743725,0.011818181818181818,0.4912861036653945,0.37322154878356817
2021-04-26,BNB,0.6121182515559416,0.5963184235409782,0.8698097291809058,0.011818181818181818,0.4944945983759953,0.32996689818037594
2021-04-27,BNB,0.6726371399623678,0.504814562559879,0.816632076809686,0.011818181818181818,0.5022496369453887,0.4692271020876295
2021-04-28,BNB,0.6617817339701837,0.5696133943762115,0.7580098877157557,0.011818181818181818,0.4926364334518735,0.4923374983116482
2021-04-29,BNB,0.7285786655087567,0.7203974046896545,0.6895717120734497,0.011818181818181818,0.5162796131857803,0.5026099597341575
2021-04-30,BNB,0.7701005934288607,0.7160079789744681,0.6087003232581056,0.011818181818181818,0.5476396374986957,0.4970334033597059
2021-05-01,BNB,0.7653061224489794,0.7805640416763334,0.5096105523664272,0.011818181818181818,0.551671008659629,0.568938685289153
2021-05-02,BNB,0.7685265595599942,0.7644086867768409,0.39569263703099894,0.011818181818181818,0.5484788384373063,0.5696266644744125
2021-05-03,BNB,0.8668946301925025,0.7960140956301378,0.23686137490637105,0.011818181818181818,0.5686337044340847,0.5743948458363447
2021-05-04,BNB,0.745947315096251,0.6054063390850167,0.2173248247406953,0.011818181818181818,0.5053561445973778,0.5858023789189806
2021-05-05,BNB,0.8215733101751339,0.6905631194485046,0.20982948088133307,0.011818181818181818,0.45312912318800247,0.6639067608170317
2021-05-06,BNB,0.7906173107540888,0.5914330486297048,0.20785438333880946,0.011818181818181818,0.4792493930653112,0.7191410444285748
2021-05-07,BNB,0.7730858300767114,0.5372469082002129,0.20664359965467077,0.011818181818181818,0.5456078868942391,0.717873736732627
2021-05-08,BNB,0.8125271385149804,0.5764459598383123,0.20149364128097058,0.011818181818181818,0.48820994062059436,0.719538256185499
2021-05-09,BNB,0.8408235634679402,0.5984770417022196,0.19616805558227768,0.011818181818181818,0.4750000439088367,0.7247166817165904
2021-05-10,BNB,0.7853886235345202,0.46840483488060813,0.19133523261392416,0.011818181818181818,0.4463581857281523,0.7249325650559505
2021-05-11,BNB,0.8592234766246922,0.6367254498910154,0.184136281278645,0.011818181818181818,0.287460626682101,0.7391819915958805
2021-05-12,BNB,0.7194420321320016,0.44845870092782253,0.17406626066613728,0.011818181818181818,0.3105034558228683,0.7484757789410516
2021-05-13,BNB,0.6768345636126791,0.4360394804655623,0.1640522291728806,0.011818181818181818,0.36269720983710985,0.9598323894244848
2021-05-14,BNB,0.7338435374149659,0.5000888905540322,0.16215910238820508,0.011818181818181818,0.34733350037543137,0.9606514690482254
2021-05-15,BNB,0.662921551599363,0.4074341451780342,0.16072774440221826,0.011818181818181818,0.3099302249980347,0.956975563040167
2021-05-16,BNB,0.6645679548415111,0.3883202985155563,0.1590790668028721,0.011818181818181818,0.3166042110699767,0.9607830511680303
2021-05-17,BNB,0.5700354609929079,0.3471910041517434,0.1575787382913329,0.011818181818181818,0.3289723737069125,0.971998631805992
2021-05-18,BNB,0.5624547691416992,0.2920219383369768,0.15646856678850174,0.011818181818181818,0.3651541853279986,0.9712601700739157
2021-05-19,BNB,0.2493124909538284,0.1003784475595248,0.17197361782680942,0.011818181818181818,0.39485320851940253,0.9719021281580692
2021-05-20,BNB,0.35129903025039805,0.2215337593071504,0.1995054118313888,0.011818181818181818,0.23317896985416664,0.9865110673277037
2021-05-21,BNB,0.23340932117527863,0.07849317452230237,0.22900628552214336,0.011818181818181818,0.14376767553225334,0.9999999999999999
2021-05-22,BNB,0.18591691995947318,0.06959866259877556,0.24942334276361733,0.011818181818181818,0.21785946057865568,0.9983837522503177
2021-05-23,BNB,0.11528441163699527,0.0,0.2664937650904119,0.011818181818181818,0.26408508742371856,0.9900928313944494
2021-05-24,BNB,0.26892459111304096,0.2116407886105925,0.3177080530700447,0.011818181818181818,0.2113655322573758,0.9500351469758218
2021-05-25,BNB,0.26447387465624544,0.21236119133205722,0.35841641306924127,0.011818181818181818,0.26716774049515796,0.9690031935782705
2021-05-26,BNB,0.32957012592270957,0.6662784102963124,0.3953707050575212,0.011818181818181818,0.2567251678141574,0.9669501287302017
2021-05-27,BNB,0.3124004921117383,0.4799954883379868,0.42637635257225986,0.011818181818181818,0.25590985622455037,0.8885052298124768
2021-05-28,BNB,0.23849326964828482,0.5431788190334689,0.4531117617307772,0.011818181818181818,0.26284817064837535,0.8766420695864682
2021-05-29,BNB,0.19546967723259517,0.5521170484757292,0.48014340506384606,0.011818181818181818,0.2686343861355095,0.8718269807208149
2021-05-30,BNB,0.23261325806918515,0.7817856050485289,0.5056787820392445,0.0,0.2585206445636002,0.8790255051792709
2021-05-31,BNB,0.2828376031263569,0.5567224310943513,0.5304342808886103,0.0009090909090909115,0.2845612617573337,0.8384575462535077
2021-06-01,BNB,0.29922926617455486,0.5902384652368706,0.5528886924389824,0.0018181818181818195,0.29009977669480275,0.8405551760304305
2021-06-02,BNB,0.37006079027355626,0.5932680746325236,0.5599256219477845,0.0027272727272727275,0.3213836530724266,0.8416023486498271
2021-06-03,BNB,0.4188015631784629,0.6927022198304555,0.5645896187880147,0.003636363636363639,0.36012425658769937,0.8310148813482616
