Date,Ticker,drawdown_90d,fgi
2021-04-23,ADA,-0.2161683128128805,55.0
2021-04-24,ADA,-0.25391016100662966,37.0
2021-04-25,ADA,-0.2617372480043296,31.0
2021-04-26,ADA,-0.16283317548369633,27.0
2021-04-27,ADA,-0.11629008253281013,50.0
2021-04-28,ADA,-0.094912731700717,59.0
2021-04-29,ADA,-0.11629008253281013,52.0
2021-04-30,ADA,-0.08456230550669734,51.0
2021-05-01,ADA,-0.08564470301718309,68.0
2021-05-02,ADA,-0.10248951427411715,66.0
2021-05-03,ADA,-0.07847381951021505,61.0
2021-05-04,ADA,-0.14098227574076574,68.0
2021-05-05,ADA,0.0,48.0
2021-05-06,ADA,0.0,65.0
2021-05-07,ADA,0.0,64.0
2021-05-08,ADA,-0.019298245614035113,67.0
2021-05-09,ADA,0.0,73.0
2021-05-10,ADA,-0.0702032497310762,72.0
2021-05-11,ADA,-0.001755081243276839,61.0
2021-05-12,ADA,-0.11147596671007194,68.0
2021-05-13,ADA,0.0,31.0
2021-05-14,ADA,0.0,26.0
2021-05-15,ADA,0.0,27.0
2021-05-16,ADA,0.0,20.0
2021-05-17,ADA,-0.11716372489348746,27.0
2021-05-18,ADA,-0.12894530910355612,21.0
2021-05-19,ADA,-0.36253369272237196,23.0
2021-05-20,ADA,-0.21719850447787142,11.0
2021-05-21,ADA,-0.3264498739240066,19.0
2021-05-22,ADA,-0.36401182505869045,12.0
2021-05-23,ADA,-0.42878880097382827,14.0
2021-05-24,ADA,-0.3261455525606468,10.0
2021-05-25,ADA,-0.3247543691852882,22.0
2021-05-26,ADA,-0.2265455177810625,22.0
2021-05-27,ADA,-0.28041039909573073,27.0
2021-05-28,ADA,-0.34210068689679146,21.0
2021-05-29,ADA,-0.39009651334666545,18.0
2021-05-30,ADA,-0.3152334579601773,10.0
2021-05-31,ADA,-0.24471785062168497,18.0
2021-06-01,ADA,-0.2451525954264846,20.0
2021-06-02,ADA,-0.23771845926441168,23.0
2021-06-03,ADA,-0.1977654117033301,24.0
2021-06-04,ADA,-0.25758629684375267,27.0
2021-06-05,ADA,-0.2804538735762107,24.0
2021-06-06,ADA,-0.2708894878706199,17.0
2021-06-07,ADA,-0.3192331101643334,15.0
