Date,Ticker,rs_30d,beta_60d,corr_60d,idio_vol_30d,ir_30d
2021-02-23,ADA,1.2061231770601746,,,,0.21595652498974527
2021-02-24,ADA,1.517507481866424,,,,0.2487934905826334
2021-02-25,ADA,1.68707534799573,,,,0.27497821847948256
2021-02-26,ADA,2.467271894056376,,,,0.3299124362763021
2021-02-27,ADA,2.4369405575148,,,,0.34692458679316623
2021-02-28,ADA,2.457663763989867,,,,0.35946451627883574
2021-03-01,ADA,2.113929073686154,,,,0.3012960429103209
2021-03-02,ADA,2.083143866387047,,,,0.2961291146586715
2021-03-03,ADA,1.4659964867615642,,,,0.23521288740094712
2021-03-04,ADA,1.2535638948880128,,,,0.22645403093529443
2021-03-05,ADA,1.3270680749669839,,,,0.24392983801716434
2021-03-06,ADA,1.246357667854704,,,,0.23050496462503914
2021-03-07,ADA,0.765398591311961,,,,0.16600121204753074
2021-03-08,ADA,0.4263939822657077,,,,0.10852755742124057
2021-03-09,ADA,0.3962424667847255,,,,0.09923694403584929
2021-03-10,ADA,0.47016695292971433,,,,0.1380626094072741
2021-03-11,ADA,0.34878703694287383,,,,0.10917134445869268
2021-03-12,ADA,-0.1787103807581487,,,,-0.05277384224006648
2021-03-13,ADA,-0.09017245442456501,,,,-0.01697149539779608
2021-03-14,ADA,-0.10834112718872091,,,,-0.02496550037022301
2021-03-15,ADA,-0.04994379148148553,,,,-0.003547325079693385
2021-03-16,ADA,0.30944117047855024,,,,0.124128249512829
2021-03-17,ADA,0.368873891165618,,,,0.13697982977364642
2021-03-18,ADA,0.23963341341198152,,,,0.1043069042977341
2021-03-19,ADA,0.3380060552216466,,,,0.13898656609501187
2021-03-20,ADA,0.18576181570647798,,,,0.09121679056495342
2021-03-21,ADA,0.25476215930881274,,,,0.12331171514427375
2021-03-22,ADA,0.018771325075791157,,,,0.034734236537096765
2021-03-23,ADA,0.0693148621735582,,,,0.05981653979394205
2021-03-24,ADA,0.007451283189652824,,,,0.03088084363357279
2021-03-25,ADA,0.0897672053815397,0.4281663799240616,0.23222260225180724,,0.06514445020025002
2021-03-26,ADA,0.04977608039174619,0.45153311248375155,0.24730868531696173,,0.04704556835822719
2021-03-27,ADA,-0.09300107279770975,0.44915493710559323,0.2453374741952725,,-0.01393656237476683
2021-03-28,ADA,-0.24810120784357748,0.4012581017139438,0.2179491175353426,,-0.10624797625980445
2021-03-29,ADA,-0.3350058032226968,0.36517054105689484,0.19410450572652768,,-0.15713309455651187
2021-03-30,ADA,-0.37788005140810976,0.3664345689825282,0.19461307049448395,,-0.1758355812335039
