Date,Ticker,trend_bear,trend_neutral,trend_bull,vol_low,vol_mid,vol_high,stress_low,stress_mid,stress_high,ac_negative,ac_neutral,ac_positive,macro_calm,macro_neutral,macro_stress
2021-04-23,ADA,0.0,0.0,0.0,0.10254860322350484,0.24275342727264576,0.7347135954299232,0.0,0.0,0.0,0.0,0.0,0.4210119182667163,0.9696378209507874,0.9688914589597691,0.5456690043100301
2021-04-24,ADA,0.0,0.0,0.0,0.1393672479039804,0.30845382357227646,0.8167535183663769,0.0,0.0,0.0,0.0,0.0,0.10202374620123954,0.7851778559856168,0.9810240141758598,0.8077155540649751
2021-04-25,ADA,0.0,0.0,0.0,0.14008487265354091,0.3096799152184984,0.8180971751177002,0.0,0.0,0.0,0.0,0.0,0.6151685032393863,0.7851778559856168,0.9810240141758598,0.8077155540649751
2021-04-26,ADA,0.0,0.0,0.5980620139124115,0.1435428972295019,0.31556161028471824,0.8244554515375003,0.0,0.0,0.0,0.0,0.0,0.42294316391963477,0.8853436690202329,0.9999806866019932,0.6935542539321207
2021-04-27,ADA,0.0,0.0,0.5245333833098332,0.15314698338053204,0.33167343014494727,0.8411501199326206,0.0,0.0,0.0,0.0,0.0,0.9931790383505186,0.5199247028088789,0.8127159124477935,0.979154621598781
2021-04-28,ADA,0.0,0.0,0.4028208388573173,0.16344424553156206,0.34859935016472743,0.8575922307666768,0.0,0.0,0.0,0.0,0.0,0.978620532930952,0.4568917058920796,0.7537553049570734,0.9952723124547964
2021-04-29,ADA,0.0,0.0,0.032908951134048625,0.17034698377621302,0.3597534309953392,0.867839148068377,0.0,0.0,0.0,0.0,0.0,0.9891771465247191,0.42977546155333746,0.7262201032179657,0.9987810313902519
2021-04-30,ADA,0.0,0.0,0.0,0.17854790793639677,0.3728135088794087,0.8792646052678703,0.0,0.0,0.0,0.0,0.0,0.9386036843744137,0.4444167291822697,0.7412523386245939,0.997159336411902
2021-05-01,ADA,0.0,0.0,0.0,0.19073889496620766,0.391859800007142,0.8948593561022863,0.0,0.0,0.0,0.0,0.0,0.9119852957217371,0.2739158674530905,0.5403282850211277,0.9666876657298968
2021-05-02,ADA,0.0,0.0,0.0,0.20456737907527575,0.4129587965246096,0.9107153326289907,0.0,0.0,0.0,0.0,0.0,0.9279259261513227,0.27250210231063376,0.538403071511143,0.9658747009987808
2021-05-03,ADA,0.0,0.0,0.5352000525964619,0.22622222160677943,0.44498833193370574,0.9320721829858162,0.0,0.0,0.0,0.0,0.0,0.9101579655017428,0.2628276724751113,0.5250982511948455,0.9599867644765153
2021-05-04,ADA,0.4059229758541621,0.0,0.0,0.2519124070793219,0.4815030809009007,0.9526341647764575,0.0,0.0,0.0,0.0,0.0,0.7166758887375269,0.2405688386831605,0.49359257410817575,0.9441445831334767
2021-05-05,ADA,0.0,0.0,0.4705049406109397,0.2543536499411213,0.484893752212118,0.9543462194189424,0.0,0.0,0.0,0.18804360696673267,0.46798410126081874,0.0,0.12162167505974424,0.2994241909871889,0.7806608481527669
2021-05-06,ADA,0.0,0.0,0.0,0.25550994268788263,0.4864950884418162,0.9551433411483081,0.0,0.0,0.0,0.0,0.0,0.9034248683824471,0.06928791117125511,0.1940460200780321,0.6297971303705441
2021-05-07,ADA,0.0,0.0,0.0,0.25658122107118403,0.48797603254044114,0.9558740166837871,0.0,0.0,0.0,0.0,0.0,0.9305188056516526,0.07024052353269718,0.19613305421381957,0.6333798821428791
2021-05-08,ADA,0.0,0.0,0.0,0.25442239137782885,0.4849890348271466,0.9543938548237869,0.0,0.0,0.0,0.0,0.0,0.9936981058039651,0.06899150459449904,0.19339507031380893,0.6286738358827596
2021-05-09,ADA,0.0,0.0,0.0,0.25159976513040705,0.481067882051636,0.9524120308322531,0.0,0.0,0.0,0.0,0.0,0.8215652904358468,0.06522079289629588,0.18504757043987663,0.6140182477444013
2021-05-10,ADA,0.0,0.0,0.0,0.2491091411245469,0.4775930426622404,0.9506188542893613,0.0,0.0,0.0,0.0,0.0,0.42205928326206543,0.0650673249180012,0.18470516056610484,0.6134069587335502
2021-05-11,ADA,0.0,0.0,0.0,0.24854872258528185,0.47680922795420694,0.9502095570310846,0.0,0.0,0.0,0.0,0.0,0.08952470906154644,0.05557196806786779,0.1630840301573941,0.5730868182427462
2021-05-12,ADA,0.0,0.0,0.9671655370786788,0.2406595779041178,0.4656989259259484,0.9442160802144329,0.0,0.0,0.0,0.22419224843346636,0.3657118023598139,0.0,0.05001935424436874,0.15000700779669446,0.5469222725031718
2021-05-13,ADA,0.0,0.0,0.0,0.20814467405234582,0.41833304857709447,0.9145233248228901,0.0,0.0,0.0,0.8394074170610265,0.0,0.0,0.002745782722727449,0.01348393744766814,0.11366155945068368
2021-05-14,ADA,0.0,0.0,0.0,0.18100137061940574,0.37668138574395993,0.8825326556209296,0.0,0.0,0.0,0.5915277669505743,0.0,0.0,0.0027099338727332362,0.013333349542259627,0.1127578287247438
2021-05-15,ADA,0.0,0.0,0.0,0.16084129437015887,0.34435377481072776,0.8535705866317668,0.0,0.0,0.0,0.5447600148079894,0.0,0.0,0.0028742415698263498,0.014020996394688677,0.11685732548565234
2021-05-16,ADA,0.0,0.0,0.0,0.1473150187448348,0.32192835565856454,0.8311774191687602,0.0,0.0,0.0,0.5537117198521821,0.0,0.0,0.002704214994299368,0.013309297280448898,0.11261316555439209
2021-05-17,ADA,0.0,0.0,0.0,0.12508139402367624,0.2836362738738405,0.7881552534226383,0.0,0.0,0.0,0.7251574702272257,0.0,0.0,0.0022554663771183685,0.011395031112577211,0.10080085245507452
2021-05-18,ADA,0.0,0.0,0.10045817784474408,0.10983810859283304,0.25623048018073136,0.7532622905923505,0.0,0.0,0.0,0.767484665247123,0.0,0.0,0.0022827675580038404,0.011513106805578717,0.10154756141694625
2021-05-19,ADA,0.9624336799629105,0.0,0.0,0.07403256084742772,0.1873250914291577,0.64724182321915,0.0,0.0,0.0,0.4319122622450629,0.0,0.0,0.0022590170444440364,0.011410400132142805,0.10089818924815797
2021-05-20,ADA,0.9442326266923132,0.0,0.0,0.04115734483108007,0.11628206845741365,0.5002379305021508,0.0,0.0,0.0,0.9742993433212933,0.0,0.0,0.0017762292201039056,0.009282912723043222,0.08698116228871176
2021-05-21,ADA,0.0,0.0,0.0,0.02038002347346947,0.06488117886786744,0.3538668547984157,0.0,0.0,0.0,0.8451235374187069,0.0,0.0,0.0014167387457695783,0.007640890332577789,0.07552914252003279
2021-05-22,ADA,0.0,0.0,0.0,0.00971612508837517,0.03468956043615063,0.2376230757304757,0.0,0.0,0.0,0.9153219166324434,0.0,0.0,0.0014559554000764558,0.007822840050447777,0.0768336836657385
2021-05-23,ADA,0.0,0.0,0.0,0.004592364823694865,0.018247553154637892,0.1546130079233503,0.0,0.0,0.0,0.9601468319068561,0.0,0.0,0.0016733590968754802,0.00881868779284792,0.08381334191636355
2021-05-24,ADA,0.0,0.0,0.0,0.0018287428450710712,0.0082068529192737,0.08856805265188805,0.0,0.0,0.0,0.8997831045478315,0.0,0.0,0.003209537816300836,0.015405119619047697,0.12490788802197555
2021-05-25,ADA,0.0,0.0,0.0,0.0007558498734231673,0.0037814119850344665,0.05064781958013519,0.0,0.0,0.0,0.9119401571428581,0.0,0.0,0.0023680997373854776,0.011880746687221333,0.10385655252924561
